Provinsi,Tahun,Persentase_Kemiskinan
ACEH,2015,17.08
ACEH,2016,16.73
ACEH,2017,16.89
ACEH,2018,15.97
ACEH,2019,15.32
ACEH,2020,14.99
ACEH,2021,15.33
ACEH,2022,14.64
ACEH,2023,14.45
ACEH,2024,14.23
ACEH,2025,12.33
BALI,2015,4.74
BALI,2016,4.25
BALI,2017,4.25
BALI,2018,4.01
BALI,2019,3.79
BALI,2020,3.78
BALI,2021,4.53
BALI,2022,4.57
BALI,2023,4.25
BALI,2024,4.0
BALI,2025,3.72
BANTEN,2015,5.9
BANTEN,2016,5.42
BANTEN,2017,5.45
BANTEN,2018,5.24
BANTEN,2019,5.09
BANTEN,2020,5.92
BANTEN,2021,6.66
BANTEN,2022,6.16
BANTEN,2023,6.17
BANTEN,2024,5.84
BANTEN,2025,5.63
BENGKULU,2015,17.88
BENGKULU,2016,17.32
BENGKULU,2017,16.45
BENGKULU,2018,15.43
BENGKULU,2019,15.23
BENGKULU,2020,15.03
BENGKULU,2021,15.22
BENGKULU,2022,14.62
BENGKULU,2023,14.04
BENGKULU,2024,13.56
BENGKULU,2025,12.08
DI YOGYAKARTA,2015,14.91
DI YOGYAKARTA,2016,13.34
DI YOGYAKARTA,2017,13.02
DI YOGYAKARTA,2018,12.13
DI YOGYAKARTA,2019,11.7
DI YOGYAKARTA,2020,12.28
DI YOGYAKARTA,2021,12.8
DI YOGYAKARTA,2022,11.34
DI YOGYAKARTA,2023,11.04
DI YOGYAKARTA,2024,10.83
DI YOGYAKARTA,2025,10.23
DKI JAKARTA,2015,3.93
DKI JAKARTA,2016,3.75
DKI JAKARTA,2017,3.77
DKI JAKARTA,2018,3.57
DKI JAKARTA,2019,3.47
DKI JAKARTA,2020,4.53
DKI JAKARTA,2021,4.72
DKI JAKARTA,2022,4.69
DKI JAKARTA,2023,4.44
DKI JAKARTA,2024,4.3
DKI JAKARTA,2025,4.28
GORONTALO,2015,18.32
GORONTALO,2016,17.72
GORONTALO,2017,17.65
GORONTALO,2018,16.81
GORONTALO,2019,15.52
GORONTALO,2020,15.22
GORONTALO,2021,15.61
GORONTALO,2022,15.42
GORONTALO,2023,15.15
GORONTALO,2024,14.57
GORONTALO,2025,13.24
JAMBI,2015,8.86
JAMBI,2016,8.41
JAMBI,2017,8.19
JAMBI,2018,7.92
JAMBI,2019,7.6
JAMBI,2020,7.58
JAMBI,2021,8.09
JAMBI,2022,7.62
JAMBI,2023,7.58
JAMBI,2024,7.1
JAMBI,2025,7.19
JAWA BARAT,2015,9.53
JAWA BARAT,2016,8.95
JAWA BARAT,2017,8.71
JAWA BARAT,2018,7.45
JAWA BARAT,2019,6.91
JAWA BARAT,2020,7.88
JAWA BARAT,2021,8.4
JAWA BARAT,2022,8.06
JAWA BARAT,2023,7.62
JAWA BARAT,2024,7.46
JAWA BARAT,2025,7.02
JAWA TENGAH,2015,13.58
JAWA TENGAH,2016,13.27
JAWA TENGAH,2017,13.01
JAWA TENGAH,2018,11.32
JAWA TENGAH,2019,10.8
JAWA TENGAH,2020,11.41
JAWA TENGAH,2021,11.79
JAWA TENGAH,2022,10.93
JAWA TENGAH,2023,10.77
JAWA TENGAH,2024,10.47
JAWA TENGAH,2025,9.48
JAWA TIMUR,2015,12.34
JAWA TIMUR,2016,12.05
JAWA TIMUR,2017,11.77
JAWA TIMUR,2018,10.98
JAWA TIMUR,2019,10.37
JAWA TIMUR,2020,11.09
JAWA TIMUR,2021,11.4
JAWA TIMUR,2022,10.38
JAWA TIMUR,2023,10.35
JAWA TIMUR,2024,9.79
JAWA TIMUR,2025,9.5
KALIMANTAN BARAT,2015,8.03
KALIMANTAN BARAT,2016,7.87
KALIMANTAN BARAT,2017,7.88
KALIMANTAN BARAT,2018,7.77
KALIMANTAN BARAT,2019,7.49
KALIMANTAN BARAT,2020,7.17
KALIMANTAN BARAT,2021,7.15
KALIMANTAN BARAT,2022,6.73
KALIMANTAN BARAT,2023,6.71
KALIMANTAN BARAT,2024,6.32
KALIMANTAN BARAT,2025,6.16
KALIMANTAN SELATAN,2015,4.99
KALIMANTAN SELATAN,2016,4.85
KALIMANTAN SELATAN,2017,4.73
KALIMANTAN SELATAN,2018,4.54
KALIMANTAN SELATAN,2019,4.55
KALIMANTAN SELATAN,2020,4.38
KALIMANTAN SELATAN,2021,4.83
KALIMANTAN SELATAN,2022,4.49
KALIMANTAN SELATAN,2023,4.29
KALIMANTAN SELATAN,2024,4.11
KALIMANTAN SELATAN,2025,3.84
KALIMANTAN TENGAH,2015,5.94
KALIMANTAN TENGAH,2016,5.66
KALIMANTAN TENGAH,2017,5.37
KALIMANTAN TENGAH,2018,5.17
KALIMANTAN TENGAH,2019,4.98
KALIMANTAN TENGAH,2020,4.82
KALIMANTAN TENGAH,2021,5.16
KALIMANTAN TENGAH,2022,5.28
KALIMANTAN TENGAH,2023,5.11
KALIMANTAN TENGAH,2024,5.17
KALIMANTAN TENGAH,2025,5.19
KALIMANTAN TIMUR,2015,6.23
KALIMANTAN TIMUR,2016,6.11
KALIMANTAN TIMUR,2017,6.19
KALIMANTAN TIMUR,2018,6.03
KALIMANTAN TIMUR,2019,5.94
KALIMANTAN TIMUR,2020,6.1
KALIMANTAN TIMUR,2021,6.54
KALIMANTAN TIMUR,2022,6.31
KALIMANTAN TIMUR,2023,6.11
KALIMANTAN TIMUR,2024,5.78
KALIMANTAN TIMUR,2025,5.17
KALIMANTAN UTARA,2015,6.24
KALIMANTAN UTARA,2016,6.23
KALIMANTAN UTARA,2017,7.22
KALIMANTAN UTARA,2018,7.09
KALIMANTAN UTARA,2019,6.63
KALIMANTAN UTARA,2020,6.8
KALIMANTAN UTARA,2021,7.36
KALIMANTAN UTARA,2022,6.77
KALIMANTAN UTARA,2023,6.45
KALIMANTAN UTARA,2024,6.32
KALIMANTAN UTARA,2025,5.54
KEP. BANGKA BELITUNG,2015,5.4
KEP. BANGKA BELITUNG,2016,5.22
KEP. BANGKA BELITUNG,2017,5.2
KEP. BANGKA BELITUNG,2018,5.25
KEP. BANGKA BELITUNG,2019,4.62
KEP. BANGKA BELITUNG,2020,4.53
KEP. BANGKA BELITUNG,2021,4.9
KEP. BANGKA BELITUNG,2022,4.45
KEP. BANGKA BELITUNG,2023,4.52
KEP. BANGKA BELITUNG,2024,4.55
KEP. BANGKA BELITUNG,2025,5.0
KEP. RIAU,2015,6.24
KEP. RIAU,2016,5.98
KEP. RIAU,2017,6.06
KEP. RIAU,2018,6.2
KEP. RIAU,2019,5.9
KEP. RIAU,2020,5.92
KEP. RIAU,2021,6.12
KEP. RIAU,2022,6.24
KEP. RIAU,2023,5.69
KEP. RIAU,2024,5.37
KEP. RIAU,2025,4.44
LAMPUNG,2015,14.35
LAMPUNG,2016,14.29
LAMPUNG,2017,13.69
LAMPUNG,2018,13.14
LAMPUNG,2019,12.62
LAMPUNG,2020,12.34
LAMPUNG,2021,12.62
LAMPUNG,2022,11.57
LAMPUNG,2023,11.11
LAMPUNG,2024,10.69
LAMPUNG,2025,10.0
MALUKU,2015,19.51
MALUKU,2016,19.18
MALUKU,2017,18.45
MALUKU,2018,18.12
MALUKU,2019,17.69
MALUKU,2020,17.44
MALUKU,2021,17.87
MALUKU,2022,15.97
MALUKU,2023,16.42
MALUKU,2024,16.05
MALUKU,2025,15.38
MALUKU UTARA,2015,6.84
MALUKU UTARA,2016,6.33
MALUKU UTARA,2017,6.35
MALUKU UTARA,2018,6.64
MALUKU UTARA,2019,6.77
MALUKU UTARA,2020,6.78
MALUKU UTARA,2021,6.89
MALUKU UTARA,2022,6.23
MALUKU UTARA,2023,6.46
MALUKU UTARA,2024,6.32
MALUKU UTARA,2025,5.81
NUSA TENGGARA BARAT,2015,17.1
NUSA TENGGARA BARAT,2016,16.48
NUSA TENGGARA BARAT,2017,16.07
NUSA TENGGARA BARAT,2018,14.75
NUSA TENGGARA BARAT,2019,14.56
NUSA TENGGARA BARAT,2020,13.97
NUSA TENGGARA BARAT,2021,14.14
NUSA TENGGARA BARAT,2022,13.68
NUSA TENGGARA BARAT,2023,13.85
NUSA TENGGARA BARAT,2024,12.91
NUSA TENGGARA BARAT,2025,11.78
NUSA TENGGARA TIMUR,2015,22.61
NUSA TENGGARA TIMUR,2016,22.19
NUSA TENGGARA TIMUR,2017,21.85
NUSA TENGGARA TIMUR,2018,21.35
NUSA TENGGARA TIMUR,2019,21.09
NUSA TENGGARA TIMUR,2020,20.9
NUSA TENGGARA TIMUR,2021,20.99
NUSA TENGGARA TIMUR,2022,20.05
NUSA TENGGARA TIMUR,2023,19.96
NUSA TENGGARA TIMUR,2024,19.48
NUSA TENGGARA TIMUR,2025,18.6
PAPUA,2015,28.17
PAPUA,2016,28.54
PAPUA,2017,27.62
PAPUA,2018,27.74
PAPUA,2019,27.53
PAPUA,2020,26.64
PAPUA,2021,26.86
PAPUA,2022,26.56
PAPUA,2023,26.03
PAPUA BARAT,2015,25.82
PAPUA BARAT,2016,25.43
PAPUA BARAT,2017,25.1
PAPUA BARAT,2018,23.01
PAPUA BARAT,2019,22.17
PAPUA BARAT,2020,21.37
PAPUA BARAT,2021,21.84
PAPUA BARAT,2022,21.33
PAPUA BARAT,2023,20.49
PAPUA BARAT,2024,21.66
PAPUA BARAT,2025,20.66
RIAU,2015,8.42
RIAU,2016,7.98
RIAU,2017,7.78
RIAU,2018,7.39
RIAU,2019,7.08
RIAU,2020,6.82
RIAU,2021,7.12
RIAU,2022,6.78
RIAU,2023,6.68
RIAU,2024,6.67
RIAU,2025,6.16
SULAWESI BARAT,2015,12.4
SULAWESI BARAT,2016,11.74
SULAWESI BARAT,2017,11.3
SULAWESI BARAT,2018,11.25
SULAWESI BARAT,2019,11.02
SULAWESI BARAT,2020,10.87
SULAWESI BARAT,2021,11.29
SULAWESI BARAT,2022,11.75
SULAWESI BARAT,2023,11.49
SULAWESI BARAT,2024,11.21
SULAWESI BARAT,2025,10.41
SULAWESI SELATAN,2015,9.39
SULAWESI SELATAN,2016,9.4
SULAWESI SELATAN,2017,9.38
SULAWESI SELATAN,2018,9.06
SULAWESI SELATAN,2019,8.69
SULAWESI SELATAN,2020,8.72
SULAWESI SELATAN,2021,8.78
SULAWESI SELATAN,2022,8.63
SULAWESI SELATAN,2023,8.7
SULAWESI SELATAN,2024,8.06
SULAWESI SELATAN,2025,7.6
SULAWESI TENGAH,2015,14.66
SULAWESI TENGAH,2016,14.45
SULAWESI TENGAH,2017,14.14
SULAWESI TENGAH,2018,14.01
SULAWESI TENGAH,2019,13.48
SULAWESI TENGAH,2020,12.92
SULAWESI TENGAH,2021,13.0
SULAWESI TENGAH,2022,12.33
SULAWESI TENGAH,2023,12.41
SULAWESI TENGAH,2024,11.77
SULAWESI TENGAH,2025,10.92
SULAWESI TENGGARA,2015,12.9
SULAWESI TENGGARA,2016,12.88
SULAWESI TENGGARA,2017,12.81
SULAWESI TENGGARA,2018,11.63
SULAWESI TENGGARA,2019,11.24
SULAWESI TENGGARA,2020,11.0
SULAWESI TENGGARA,2021,11.66
SULAWESI TENGGARA,2022,11.17
SULAWESI TENGGARA,2023,11.43
SULAWESI TENGGARA,2024,11.21
SULAWESI TENGGARA,2025,10.54
SULAWESI UTARA,2015,8.65
SULAWESI UTARA,2016,8.34
SULAWESI UTARA,2017,8.1
SULAWESI UTARA,2018,7.8
SULAWESI UTARA,2019,7.66
SULAWESI UTARA,2020,7.62
SULAWESI UTARA,2021,7.77
SULAWESI UTARA,2022,7.28
SULAWESI UTARA,2023,7.38
SULAWESI UTARA,2024,7.25
SULAWESI UTARA,2025,6.71
SUMATERA BARAT,2015,7.31
SUMATERA BARAT,2016,7.09
SUMATERA BARAT,2017,6.87
SUMATERA BARAT,2018,6.65
SUMATERA BARAT,2019,6.42
SUMATERA BARAT,2020,6.28
SUMATERA BARAT,2021,6.63
SUMATERA BARAT,2022,5.92
SUMATERA BARAT,2023,5.95
SUMATERA BARAT,2024,5.97
SUMATERA BARAT,2025,5.35
SUMATERA SELATAN,2015,14.25
SUMATERA SELATAN,2016,13.54
SUMATERA SELATAN,2017,13.19
SUMATERA SELATAN,2018,12.8
SUMATERA SELATAN,2019,12.71
SUMATERA SELATAN,2020,12.66
SUMATERA SELATAN,2021,12.84
SUMATERA SELATAN,2022,11.9
SUMATERA SELATAN,2023,11.78
SUMATERA SELATAN,2024,10.97
SUMATERA SELATAN,2025,10.15
SUMATERA UTARA,2015,10.53
SUMATERA UTARA,2016,10.35
SUMATERA UTARA,2017,10.22
SUMATERA UTARA,2018,9.22
SUMATERA UTARA,2019,8.83
SUMATERA UTARA,2020,8.75
SUMATERA UTARA,2021,9.01
SUMATERA UTARA,2022,8.42
SUMATERA UTARA,2023,8.15
SUMATERA UTARA,2024,7.99
SUMATERA UTARA,2025,7.36
